id,transaction_id,risk_score,status,claimed_by,claimed_at,heartbeat_at,completed_at,step,scratchpad,verdict,confidence,reviewed_by,reviewed_at,review_decision,created_at
00bff585-d6b9-4a06-8250-e0417c0edd31,0ad43240-c1a3-4ab0-9620-11b10dd01e07,0.5,done,MSI,2026-07-21 22:41:47.98769+00,2026-07-21 22:41:49.421935+00,2026-07-21 22:41:49.421935+00,auto_approve,NULL,legit,1,NULL,NULL,NULL,2026-07-21 22:41:46.396823+00
0218b7e5-e617-4e6a-b677-3575fd0ac898,84c28f51-91c0-4284-9304-62a5a179650d,0.13755526657060163,failed,MSI,2026-07-21 22:25:09.70197+00,2026-07-21 22:25:09.70197+00,2026-07-21 22:25:09.955794+00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 22:25:08.220254+00
04369559-3fae-431a-b526-ec2b2aabc3eb,f70a53a4-89f5-445f-9857-5754c269a889,0.763718030534737,failed,MSI,2026-07-21 22:25:10.00695+00,2026-07-21 22:25:10.00695+00,2026-07-21 22:25:10.171313+00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 22:25:08.220254+00
04d9da40-9596-4d25-823b-cfefc8311e48,6b2feb8e-c6fe-45b2-b612-484a60d5b888,0.10814084127089314,done,MSI,2026-07-21 22:44:17.602195+00,2026-07-21 22:44:24.194978+00,2026-07-21 22:44:24.194978+00,fallback,NULL,legit,0.85,NULL,NULL,NULL,2026-07-21 22:44:16.018547+00
053de503-fe63-43ca-b334-795a701b05b3,81f742bc-444a-4666-9ac5-64ea4ffee46c,0.27712584155994346,done,MSI,2026-07-21 22:32:50.704937+00,2026-07-21 22:32:54.761148+00,2026-07-21 22:32:54.761148+00,fallback,NULL,legit,0.85,NULL,NULL,NULL,2026-07-21 22:32:50.13029+00
05c1676a-52a5-45c5-abf5-ae799b4c99a6,57ba5732-d067-4c51-9229-208d774e9e38,0.7645379740136906,done,test-worker,2026-07-22 20:58:17.179931+00,2026-07-22 20:58:17.340848+00,2026-07-22 20:58:17.340848+00,cleared_by_test,NULL,legit,1,NULL,NULL,NULL,2026-07-22 16:38:31.343393+00
069f510a-cd18-4ba9-886d-df49c46cb7ee,a1dfc7d4-6b71-4eb8-8c3c-b7f5ef45467d,0.4959708043446186,investigating,a4707cde-a39a-43de-9fca-f2c17bb30ed9,2026-07-22 20:56:48.945043+00,2026-07-22 20:56:48.945043+00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-22 14:19:58.191138+00
086ce34f-c24a-45aa-8cbb-4bc0fc0fdcd2,c54fa431-c777-4af0-ade5-a45ee09a89a4,0.6242405832558288,investigating,35a53f3f-25a6-4a36-b6ba-1a9ba85bb049,2026-07-22 20:56:48.958628+00,2026-07-22 20:56:48.958628+00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-22 14:19:58.191138+00
086e2a6c-b21f-4951-aa01-8cce234676c4,821cb34e-40e6-4285-8e8b-731238514166,0.7265814793517307,pending_review,DESKTOP-4PDKLKG,2026-07-21 21:35:22.930115+00,2026-07-21 21:35:23.089111+00,2026-07-21 21:35:23.089111+00,bedrock_reasoning,NULL,escalate,0.8,NULL,NULL,NULL,2026-07-21 21:32:31.85621+00
08834fea-d11b-4e13-8e6d-e1cd59f40856,c75f0784-2aaf-4066-a486-5ca1f6e196fb,0.5419711474372296,investigating,4d5ef10e-87b9-45c1-8e5b-84af4233e2e8,2026-07-22 20:56:48.968895+00,2026-07-22 20:56:48.968895+00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-22 14:19:58.191138+00
08c6345f-0681-4e1d-9a36-8eb3c5ada1f3,3702e7a6-e859-4b46-8a9d-11ce9d7c3b1a,0.7642310831759279,done,MSI,2026-07-21 22:32:54.804272+00,2026-07-21 22:32:57.608981+00,2026-07-21 22:32:57.608981+00,fallback,NULL,legit,0.85,NULL,NULL,NULL,2026-07-21 22:32:50.13029+00
0916ecc1-9486-40cc-a50b-c07164785bdb,1e475b29-d8b4-4e25-bf24-6d53b2043da2,0.52,done,MSI,2026-07-21 22:32:57.650077+00,2026-07-21 22:33:00.429111+00,2026-07-21 22:33:00.429111+00,fallback,NULL,legit,0.85,NULL,NULL,NULL,2026-07-21 22:32:50.13029+00
09cf81b0-d0ce-4bba-af81-3d4f3bd5283e,e3d50aa4-8df6-426e-a9b5-dee1ad2baa10,0.131391962703855,done,MSI,2026-07-21 22:40:07.845887+00,2026-07-21 22:40:13.615462+00,2026-07-21 22:40:13.615462+00,auto_approve,NULL,legit,1,NULL,NULL,NULL,2026-07-21 22:40:05.378452+00
