id,step,type,amount,name_orig,old_balance_orig,new_balance_orig,name_dest,old_balance_dest,new_balance_dest,error_balance_orig,error_balance_dest,risk_score,risk_tier,is_fraud_label,arrived_at,processed_at
001d5585-5d34-46ea-b0c6-da55bf32888c,1,CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.05,69050.28,-771843.72,0.6452931957589322,medium,f,2026-07-21 22:41:46.081867+00,NULL
002eae79-f50b-499f-8aa9-95aff95cbb0d,1,CASH_OUT,365510.05,C1299327689,0,0,C564160838,564572.76,1.25495607e+06,365510.05,-324873.26,9.63696900058153e-10,low,f,2026-07-22 14:19:57.048314+00,NULL
00605a65-20af-4843-9ea0-19d96e78e205,1,TRANSFER,1.50562601e+06,C926859124,0,0,C665576141,29031,5.51576334e+06,1.50562601e+06,-3.98110633e+06,1.2832265383622143e-06,low,f,2026-07-21 22:32:49.852477+00,NULL
0064a340-4596-48d4-96d9-8e9dae15208f,1,CASH_OUT,210370.09,C2121995675,0,0,C1170794006,1.44229803e+06,22190.99,210370.09,1.6304771300000001e+06,1.646394465204537e-09,low,f,2026-07-21 18:09:27.94638+00,NULL
00b557b7-195c-4d35-943b-567f1f47cb44,1,TRANSFER,125872.53,C1443967876,0,0,C392292416,348512,3.42010309e+06,125872.53,-2.9457185599999996e+06,5.244171006779652e-06,low,f,2026-07-21 22:44:15.695574+00,NULL
00c72286-7386-4356-9e68-80834ce1a82f,1,TRANSFER,554026.99,C1603696865,0,0,C766572210,579285.56,0,554026.99,1.13331255e+06,1.1865068649807853e-10,low,f,2026-07-21 22:26:52.945046+00,NULL
00e2169c-2075-40a3-b4ed-59b281284843,1,TRANSFER,184986.8,C697508322,39588,0,C1688019098,52340,97263.78,145398.8,140063.02,2.4690598365850747e-06,low,f,2026-07-22 14:32:45.41286+00,NULL
01762be4-fb7a-4e9f-aaf1-a4086a7ebe97,1,TRANSFER,1.72488705e+06,C1495608502,0,0,C1590550415,3.4705951e+06,1.916920493e+07,1.72488705e+06,-1.397372278e+07,1.1477848602226004e-05,low,f,2026-07-22 14:19:57.048314+00,NULL
01d13985-fd25-4982-9cc9-487a429703a2,1,CASH_OUT,5346.89,C512549200,0,0,C248609774,652637,6.45343091e+06,5346.89,-5.7954470200000005e+06,0.6315875535615709,medium,f,2026-07-21 22:30:53.950264+00,NULL
01e8dbf5-7911-4d05-ad4a-a85c6dcab4fa,1,CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.05,69050.28,-771843.72,9.900806617224589e-06,low,f,2026-07-22 14:32:45.41286+00,NULL
021d4904-2fd8-4d69-8bff-c4ee0e271efc,1,TRANSFER,224606.64,C873175411,0,0,C766572210,354678.92,0,224606.64,579285.56,3.951279552438791e-07,low,f,2026-07-22 16:38:30.993531+00,NULL
02285d0c-4d78-4562-a9d2-17181bf9159f,1,TRANSFER,554026.99,C1603696865,0,0,C766572210,579285.56,0,554026.99,1.13331255e+06,1.1865068649807853e-10,low,f,2026-07-21 21:32:31.390253+00,NULL
023358de-9126-4a0c-bffa-8e5cc723fd49,1,CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.05,69050.28,-771843.72,9.900806617224589e-06,low,f,2026-07-21 22:41:46.081867+00,NULL
0247aee3-f37a-45d0-b9ce-54fc27809eb7,1,TRANSFER,77957.68,C207471778,0,0,C1761291320,94900,22233.65,77957.68,150624.03,0.3346405742497742,medium,f,2026-07-21 22:40:05.036496+00,NULL
02634880-eea8-4b24-9951-d6a10cb9dee3,1,CASH_OUT,14121.82,C69062746,0,0,C100555887,52679,10963.66,14121.82,55837.16,1.880439981505333e-06,low,f,2026-07-22 14:36:40.363609+00,NULL
027bcfd7-5d5f-4cae-96ce-b745374942a1,1,TRANSFER,761507.39,C412788346,0,0,C1590550415,1.28003623e+06,1.916920493e+07,761507.39,-1.712766131e+07,2.5380413148923253e-07,low,f,2026-07-22 14:32:45.41286+00,NULL
02d1b58a-024c-4f32-ba9e-21c636477cb8,1,TRANSFER,311685.89,C1984094095,10835,0,C932583850,6267,2.71917289e+06,300850.89,-2.40122e+06,8.098261901068327e-07,low,f,2026-07-21 22:30:53.950264+00,NULL
02d2254b-f906-4de4-b755-123de1175ff3,1,CASH_OUT,176149.9,C24650043,0,0,C736709391,259813,46820.71,176149.9,389142.19,1.6451261899419478e-06,low,f,2026-07-21 18:09:27.94638+00,NULL
02d6e7ee-48fd-4c50-a0b2-e34c9a2cd80c,1,TRANSFER,125872.53,C1443967876,0,0,C392292416,348512,3.42010309e+06,125872.53,-2.9457185599999996e+06,0.226010449939673,medium,f,2026-07-23 13:43:14.863034+00,NULL
03520f78-e9e5-4501-974f-ddb03040c37a,1,CASH_OUT,47458.86,C527211736,209534.84,162075.98,C2096057945,52120,0,2.9103830456733704e-11,99578.86,0.459999321764038,medium,f,2026-07-21 22:51:18.176483+00,NULL
05063537-38fa-4cc1-8fe7-6dd501b79092,1,CASH_OUT,75405.1,C263053820,0,0,C1870252780,104209,46462.23,75405.1,133151.87,0.14808604082089594,medium,f,2026-07-22 14:36:40.363609+00,NULL
055ccc44-cd47-4fce-b57c-27e2cea87390,1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,0,21363,0.52,medium,t,2026-07-21 22:47:30.768623+00,NULL
060098c0-f478-487d-8082-70ff871c37af,1,TRANSFER,330757.04,C1494346128,103657,0,C564160838,79676,1.25495607e+06,227100.03999999998,-844523.03,0.7967052024834601,medium,f,2026-07-22 14:32:45.41286+00,NULL
065798a6-cc88-42bb-8f08-dba038c8b4ab,1,CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.05,69050.28,-771843.72,9.900806617224589e-06,low,f,2026-07-21 21:32:31.390253+00,NULL
